sale_id,sale_date,customer_id,product_id,quantity,sales_value,currency,sales_channel
1,2024-01-07 23:53:09.441530,nan,PROD009,6,439.53,USD,Online
2,2024-08-29 23:53:09.441530,nan,PROD018,9,457.12,GBP,Retail
3,2024-07-09 23:53:09.441530,nan,PROD007,5,140.33,JPY,Wholesale
4,2021-12-29 23:53:09.441530,nan,PROD002,2,236.45,JPY,Retail
5,2022-12-09 23:53:09.441530,nan,PROD001,1,279.08,GBP,Wholesale
6,2022-07-26 23:53:09.441530,nan,PROD005,3,475.07,JPY,Online
7,2021-11-25 23:53:09.441530,nan,PROD003,4,499.32,EUR,Retail
8,2024-01-18 23:53:09.441530,nan,PROD007,7,125.35,GBP,Retail
9,2022-01-07 23:53:09.441530,nan,PROD006,9,366.22,JPY,Wholesale
10,2023-10-08 23:53:09.441530,nan,PROD001,8,195.24,USD,Online
11,2022-08-08 23:53:09.441530,nan,PROD019,9,13.97,GBP,Wholesale
12,2023-11-13 23:53:09.441530,nan,PROD020,7,14.53,GBP,Wholesale
13,2022-09-19 23:53:09.441530,nan,PROD014,8,235.68,JPY,Wholesale
14,2024-04-11 23:53:09.441530,nan,PROD010,8,249.28,GBP,Retail
15,2022-06-02 23:53:09.441530,nan,PROD002,1,21.06,GBP,Online
16,2022-12-02 23:53:09.441530,nan,PROD011,9,346.59,GBP,Online
17,2021-09-20 23:53:09.441530,nan,PROD016,2,154.06,GBP,Online
18,2022-05-09 23:53:09.441530,nan,PROD017,7,284.35,GBP,Wholesale
19,2023-09-16 23:53:09.441530,nan,PROD005,5,157.45,GBP,Online
20,2024-01-03 23:53:09.441530,nan,PROD018,4,91.9,EUR,Online
21,2022-12-17 23:53:09.441530,nan,PROD016,1,209.52,JPY,Retail
22,2024-08-16 23:53:09.441530,nan,PROD010,1,123.81,EUR,Retail
23,2023-01-22 23:53:09.441530,nan,PROD006,3,272.05,JPY,Retail
24,2023-07-30 23:53:09.441530,nan,PROD008,1,107.43,GBP,Wholesale
25,2024-05-01 23:53:09.441530,nan,PROD006,8,259.12,JPY,Retail
26,2022-03-07 23:53:09.441530,nan,PROD004,3,87.12,EUR,Online
27,2024-04-13 23:53:09.441530,nan,PROD005,2,338.78,JPY,Retail
28,2023-07-17 23:53:09.441530,nan,PROD006,6,379.43,GBP,Wholesale
29,2024-04-13 23:53:09.441530,nan,PROD015,4,64.09,GBP,Retail
30,2023-03-15 23:53:09.441530,nan,PROD006,4,239.22,GBP,Online
31,2023-12-09 23:53:09.441530,nan,PROD019,2,44.73,EUR,Retail
32,2023-06-07 23:53:09.441530,nan,PROD020,2,303.11,USD,Retail
33,2021-09-19 23:53:09.441530,nan,PROD008,6,139.56,GBP,Retail
34,2023-12-18 23:53:09.441530,nan,PROD013,5,268.54,GBP,Wholesale
35,2022-02-12 23:53:09.441530,nan,PROD004,9,263.56,JPY,Wholesale
36,2022-09-21 23:53:09.441530,nan,PROD017,4,462.93,USD,Wholesale
37,2023-04-22 23:53:09.441530,nan,PROD014,5,279.05,JPY,Wholesale
38,2022-07-11 23:53:09.441530,nan,PROD018,1,295.67,EUR,Wholesale
39,2021-09-12 23:53:09.441530,nan,PROD015,2,206.81,USD,Retail
40,2022-04-28 23:53:09.441530,nan,PROD019,3,475.05,GBP,Retail
41,2023-10-15 23:53:09.441530,nan,PROD011,5,390.82,USD,Wholesale
42,2023-03-17 23:53:09.441530,nan,PROD007,5,149.85,GBP,Wholesale
43,2024-02-13 23:53:09.441530,nan,PROD001,4,423.66,EUR,Retail
44,2021-11-29 23:53:09.441530,nan,PROD003,3,221.87,JPY,Online
45,2024-04-11 23:53:09.441530,nan,PROD019,9,416.05,EUR,Retail
46,2023-01-20 23:53:09.441530,nan,PROD001,1,413.22,EUR,Wholesale
47,2023-10-14 23:53:09.441530,nan,PROD004,6,102.55,GBP,Retail
48,2021-10-03 23:53:09.441530,nan,PROD011,7,353.56,JPY,Wholesale
49,2022-03-23 23:53:09.441530,nan,PROD007,4,152.42,EUR,Retail
50,2024-06-20 23:53:09.441530,nan,PROD007,3,155.77,USD,Retail
51,2024-06-16 23:53:09.441530,nan,PROD014,8,155.21,EUR,Retail
52,2023-03-18 23:53:09.441530,nan,PROD015,9,365.53,GBP,Online
53,2023-08-02 23:53:09.441530,nan,PROD005,1,122.61,USD,Retail
54,2022-10-05 23:53:09.441530,nan,PROD014,9,10.44,USD,Retail
55,2023-08-29 23:53:09.441530,nan,PROD013,7,360.47,JPY,Online
56,2022-02-07 23:53:09.441530,nan,PROD020,1,93.88,USD,Retail
57,2022-03-19 23:53:09.441530,nan,PROD018,7,61.2,USD,Online
58,2024-05-21 23:53:09.441530,nan,PROD001,5,126.38,GBP,Online
59,2022-05-26 23:53:09.441530,nan,PROD013,7,196.15,JPY,Online
60,2023-11-23 23:53:09.441530,nan,PROD020,9,243.19,EUR,Retail
61,2022-11-28 23:53:09.441530,nan,PROD007,8,31.84,USD,Wholesale
62,2024-06-11 23:53:09.441530,nan,PROD006,6,485.58,EUR,Retail
63,2022-06-21 23:53:09.441530,nan,PROD009,2,360.87,EUR,Wholesale
64,2023-08-19 23:53:09.441530,nan,PROD010,8,168.37,EUR,Wholesale
65,2022-08-02 23:53:09.441530,nan,PROD003,4,166.16,JPY,Online
66,2024-01-25 23:53:09.441530,nan,PROD007,8,229.79,EUR,Online
67,2024-08-10 23:53:09.441530,nan,PROD011,7,316.86,GBP,Online
68,2023-10-30 23:53:09.441530,nan,PROD012,4,81.72,JPY,Online
69,2022-04-03 23:53:09.441530,nan,PROD012,8,102.58,JPY,Retail
70,2023-10-02 23:53:09.441530,nan,PROD013,2,431.12,JPY,Retail
71,2022-03-05 23:53:09.441530,nan,PROD008,9,135.56,JPY,Wholesale
72,2022-09-13 23:53:09.441530,nan,PROD004,6,196.3,USD,Retail
73,2023-01-04 23:53:09.441530,nan,PROD020,7,436.92,USD,Retail
